month,antibiotic,number
2019-03-01,chloramph,0
2019-03-01,coamox,1
2019-03-01,cotrimox,81
2019-03-01,azithro,0
2019-03-01,ceftriax,2
2019-04-01,cipro,8
2019-04-01,amox,80
2019-04-01,chloramph,0
2019-04-01,coamox,0
2019-04-01,cotrimox,90
2019-04-01,azithro,0
2019-04-01,ceftriax,2
2019-05-01,cipro,8
2019-05-01,amox,44
2019-05-01,chloramph,0
2019-05-01,coamox,0
2019-05-01,cotrimox,70
2019-05-01,azithro,0
2019-05-01,ceftriax,0
2019-06-01,cipro,15
2019-06-01,amox,61
2019-06-01,chloramph,1
2019-06-01,coamox,1
2019-06-01,cotrimox,183
2019-06-01,azithro,0
2019-06-01,ceftriax,0
2019-07-01,cipro,27
2019-07-01,amox,53
2019-07-01,chloramph,0
2019-07-01,coamox,0
2019-07-01,cotrimox,110
2019-07-01,azithro,0
2019-07-01,ceftriax,1
2019-08-01,cipro,44
2019-08-01,amox,26
2019-08-01,chloramph,0
2019-08-01,coamox,0
2019-08-01,cotrimox,126
2019-08-01,azithro,0
2019-08-01,ceftriax,0
2019-09-01,cipro,75
2019-09-01,amox,12
2019-09-01,chloramph,0
2019-09-01,coamox,1
2019-09-01,cotrimox,52
2019-09-01,azithro,0
2019-09-01,ceftriax,1
2019-10-01,cipro,59
2019-10-01,amox,54
2019-10-01,chloramph,2
2019-10-01,coamox,1
2019-10-01,cotrimox,250
2019-10-01,azithro,3
2019-10-01,ceftriax,1
